abbr,state,age_mean,age_median,age_min,age_max,symptoms_mean,symptoms_median,symptoms_min,symptoms_max,symptoms_count,hospital_mean,hospital_median,hospital_min,hospital_max,onset_mean,onset_median,onset_mean,onset_max
AK,Alaska,63,70.5,30,100,2.8,2,1,5,24,0.8,0,0,7,7,2,0,28
AL,Alabama,58.2,55,20,95,3.7,4.5,1,5,54,0.5,0,0,6,2.7,0,0,26
AR,Arkansas,64.4,66,27,97,3.1,3,1,5,64,0.9,0,0,12,5.1,1.5,0,37
AZ,Arizona,51.2,47,21,93,4,5,1,5,119,1.3,0,0,36,2.8,1,0,31
CA,California,55.5,53.5,19,99,3.6,5,1,5,401,0.5,0,0,12,7.4,1,0,1723
CO,Colorado,55.7,51,25,98,3.9,5,1,5,67,1.2,0,0,21,2.8,1,0,40
CT,Connecticut,54.6,52.5,25,98,3.2,3,1,5,47,1.1,0,0,16,3.5,1,0,25
DC,District of Columbia,60.9,67,30,89,3,3,1,5,7,0.4,0,0,2,3.4,2,0,11
DE,Delaware,49.9,50,22,88,3.4,3,1,5,11,2.5,0,0,15,3.6,2,0,13
FL,Florida,63.9,68,21,99,3.5,4,1,5,327,0.9,0,0,26,2.9,1,0,39
GA,Georgia,56.9,55,21,101,3.5,4,1,5,92,0.7,0,0,7,404.2,1,0,36896
GU,Guam,73.6,75,58,92,3.8,5,1,5,6,3.8,0,0,21,3.5,2.5,0,10
HI,Hawaii,59.9,53,32,98,3.4,4,1,5,29,0.4,0,0,3,1.5,1,0,9
IA,Iowa,59.7,58.5,19,99,3.8,4.5,1,5,48,1.6,0,0,19,3,1,0,24
ID,Idaho,44.2,45,23,73,2.9,3,1,5,25,0.2,0,0,5,16.2,1,0,366
IL,Illinois,52.8,51.5,19,97,3.8,4,1,5,148,0.8,0,0,10,3.1,1,0,42
IN,Indiana,56.7,60,7,99,3.7,4,1,5,86,0.8,0,0,7,2.9,1,0,28
KS,Kansas,59,61,19,94,3.5,4,1,5,42,0.5,0,0,4,3.3,1,0,20
KY,Kentucky,66.8,72,23,101,3.6,4,1,5,94,0.6,0,0,12,5,2.5,0,29
LA,Louisiana,68.4,72,4,93,3.8,5,1,5,81,1,0,0,11,2.2,1,0,18
MA,Massachusetts,54.3,53,20,96,3.4,4,1,5,169,0.8,0,0,22,6.8,1,0,367
MD,Maryland,56.8,54,22,94,3.7,5,1,5,78,0.8,0,0,15,3.3,1,0,28
ME,Maine,45.7,41,1,98,4.1,5,1,5,19,0.4,0,0,6,2.4,1,0,9
MI,Michigan,57.3,56,20,95,3.8,5,1,5,163,1,0,0,24,4.9,1,0,368
MN,Minnesota,61.3,63,1,100,3.9,5,1,5,109,1,0,0,9,6.6,1,0,372
MO,Missouri,56.4,58,11,100,3.6,5,1,5,99,0.6,0,0,9,4,1,0,28
MS,Mississippi,57.1,58.5,30,77,4,5,1,5,22,0.4,0,0,4,18.5,1,0,361
MT,Montana,63.9,64,26,90,3,3,1,5,24,1,0,0,6,4.5,2,0,27
NC,North Carolina,61.1,63,0,96,3.5,4,1,5,147,0.8,0,0,14,5,1,0,366
ND,North Dakota,67.8,77.5,28,89,4,5,1,5,22,1.3,0.5,0,5,5.6,3,0,25
NE,Nebraska,58.6,55,19,93,3.8,5,1,5,29,1.9,0,0,13,470.7,1,0,13562
NH,New Hampshire,63,63,27,101,4.1,5,1,5,35,1.1,0,0,13,6.6,4,0,31
NJ,New Jersey,51.8,50,1,100,3.6,4,1,5,124,0.6,0,0,6,153.4,0,0,18753
NM,New Mexico,59.6,63,26,96,3.6,4,1,5,34,0.4,0,0,3,4.6,1.5,0,37
NV,Nevada,51.8,51,25,91,3.5,4,1,5,35,0.9,0,0,13,3.7,1,0,36
NY,New York,52.5,52,16,104,3.7,5,1,5,287,0.9,0,0,21,52.2,1,0,13971
OH,Ohio,58,58,19,94,3.5,4,1,5,151,0.6,0,0,14,3.1,1,0,35
OK,Oklahoma,58.4,62,28,85,3.8,5,1,5,63,1.2,0,0,26,2,0,0,21
OR,Oregon,49.1,43,1,93,3.9,5,1,5,46,0.6,0,0,4,3,1,0,21
PA,Pennsylvania,53.7,52,21,96,3.9,5,1,5,176,0.8,0,0,20,3.7,1,0,74
PR,Puerto Rico,46,42.5,20,80,3.8,4.5,1,5,22,0.7,0,0,5,18.5,1,0,335
RI,Rhode Island,49,52,23,99,3.8,4,1,5,19,1.3,0,0,16,2.1,1,0,14
SC,South Carolina,58.8,60,19,100,3.8,4.5,1,5,46,0.6,0,0,8,3,1,0,74
SD,South Dakota,63.3,67.5,20,93,3.7,4,1,5,19,0.7,0,0,7,2,1,0,10
TN,Tennessee,56.5,57,21,91,3.7,5,1,5,97,0.5,0,0,11,5.4,1,0,201
TX,Texas,53,49,3,105,3.8,5,1,5,270,0.8,0,0,16,3,1,0,49
UT,Utah,48.2,44,25,86,3.8,5,1,5,22,0.7,0,0,6,1.5,0,0,8
VA,Virginia,52.3,51,21,96,3.6,4,1,5,133,0.9,0,0,6,4.2,1,0,33
VT,Vermont,50.2,42.5,22,92,3.6,4,1,5,14,0.3,0,0,2,3.9,0.5,0,34
WA,Washington,52.3,50.5,9,100,4.3,5,1,5,79,0.7,0,0,9,96.6,1,0,7346
WI,Wisconsin,60.1,61,1,99,3.7,5,1,5,91,0.7,0,0,12,3.1,1,0,35
WV,West Virginia,63.7,65,22,93,3.7,5,1,5,23,1,0,0,20,3.5,1,0,25
WY,Wyoming,55.4,60,18,87,3.5,4,1,5,8,1.2,0,0,7,2.6,1.5,0,7
